Iter:     1 | Loss: 1.9359308 | Acc train: 0.4864865 | Acc validation: 0.5405405
Iter:    42 | Loss: 0.8612206 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    43 | Loss: 0.8326855 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    44 | Loss: 0.8109961 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    45 | Loss: 0.7795931 | Acc train: 0.5135135 | Acc validation: 0.4594595
Iter:    46 | Loss: 0.7396034 | Acc train: 0.5855856 | Acc validation: 0.5405405
Iter:    47 | Loss: 0.7059798 | Acc train: 0.7567568 | Acc validation: 0.7837838
Iter:    48 | Loss: 0.6750909 | Acc train: 0.8648649 | Acc validation: 0.8108108
Iter:    49 | Loss: 0.6459416 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    50 | Loss: 0.6131802 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    51 | Loss: 0.5762893 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    52 | Loss: 0.5394340 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    53 | Loss: 0.5055669 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    54 | Loss: 0.4733462 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    55 | Loss: 0.4365418 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    56 | Loss: 0.4039211 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    57 | Loss: 0.3775817 | Acc train: 0.9189189 | Acc validation: 0.8918919
Iter:    58 | Loss: 0.3466674 | Acc train: 0.9279279 | Acc validation: 0.9459459
Iter:    59 | Loss: 0.3192985 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    60 | Loss: 0.3005218 | Acc train: 0.9639640 | Acc validation: 1.0000000
Iter:    61 | Loss: 0.2892225 | Acc train: 0.9639640 | Acc validation: 1.0000000
Iter:    62 | Loss: 0.2861927 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    63 | Loss: 0.2797546 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    64 | Loss: 0.2651143 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    65 | Loss: 0.2524749 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    66 | Loss: 0.2416712 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    67 | Loss: 0.2332362 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    68 | Loss: 0.2279744 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    69 | Loss: 0.2254027 | Acc train: 0.9639640 | Acc validation: 1.0000000
Iter:    70 | Loss: 0.2275254 | Acc train: 0.9549550 | Acc validation: 1.0000000
Iter:    71 | Loss: 0.2312589 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    72 | Loss: 0.2308076 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    73 | Loss: 0.2261258 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    74 | Loss: 0.2193478 | Acc train: 0.9639640 | Acc validation: 1.0000000
Iter:    75 | Loss: 0.2155747 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    76 | Loss: 0.2186121 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    77 | Loss: 0.2268261 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    78 | Loss: 0.2323681 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    79 | Loss: 0.2338001 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    80 | Loss: 0.2296670 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    81 | Loss: 0.2246196 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    82 | Loss: 0.2202818 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    83 | Loss: 0.2140679 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    84 | Loss: 0.2102050 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    85 | Loss: 0.2106875 | Acc train: 0.9639640 | Acc validation: 0.9729730
Iter:    86 | Loss: 0.2111035 | Acc train: 0.9639640 | Acc validation: 1.0000000
Iter:    87 | Loss: 0.2115155 | Acc train: 0.9549550 | Acc validation: 1.0000000
Iter:    88 | Loss: 0.2095270 | Acc train: 0.9639640 | Acc validation: 0.9729730
Iter:    89 | Loss: 0.2080489 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    90 | Loss: 0.2075867 | Acc train: 0.9549550 | Acc validation: 0.9729730
Iter:    91 | Loss: 0.2081841 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:    92 | Loss: 0.2092206 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    93 | Loss: 0.2100237 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    94 | Loss: 0.2105557 | Acc train: 0.9459459 | Acc validation: 0.9459459
Iter:    95 | Loss: 0.2145687 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    96 | Loss: 0.2159209 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    97 | Loss: 0.2141859 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    98 | Loss: 0.2111792 | Acc train: 0.9369369 | Acc validation: 0.9459459
Iter:    99 | Loss: 0.2073602 | Acc train: 0.9549550 | Acc validation: 0.9459459
Iter:   100 | Loss: 0.2059712 | Acc train: 0.9549550 | Acc validation: 0.9729730
